address,type,x-text
0x10235990,string,Sand blue metallic
0x102359a4,string,Tr. Flu. Blue
0x102359b4,string,Earth green
0x102359c0,string,Earth blue
0x102359cc,string,Sand yellow
0x102359d8,string,Medium orange
0x102359e8,string,Sand violet
0x102359f4,string,Sand blue
0x10235a00,string,Neon green
0x10235a0c,string,Neon orange
0x10235a18,string,Silver
0x10235a20,string,Dark nougat
0x10235a2c,string,Gold
0x10235a34,string,Tr. Bright bluish violet
0x10235a50,string,Light orange
0x10235a60,string,Bright reddish violet
0x10235a78,string,Br. reddish orange
0x10235a8c,string,Med. yellowish orange
0x10235aa4,string,Lig. yellowish green
0x10235abc,string,Br. yellowish green
0x10235ad0,string,Light bluish green
0x10235ae4,string,Med. bluish green
0x10235af8,string,Med. yellowish green
0x10235b10,string,Tr. Medi. reddish violet
0x10235b2c,string,Medium bluish violet
0x10235b44,string,Tr. Brown
0x10235b50,string,Bright bluish violet
0x10235b68,string,Earth yellow
0x10235b78,string,Bright bluish green
0x10235b8c,string,Bright orange
0x10235b9c,string,Br. yellowish orange
0x10235bb4,string,Bright violet
0x10235bc4,string,Light grey
0x10235bd0,string,Medium blue
0x10235bdc,string,Medium red
0x10235be8,string,Light red
0x10235bf4,string,Phosph. White
0x10235c04,string,Tr. Flu. Green
0x10235c14,string,Tr. Green
0x10235c20,string,Tr. Flu. Reddish orange
0x10235c38,string,Light blue
0x10235c44,string,Tr. Yellow
0x10235c50,string,Tr. Blue
0x10235c5c,string,Tr. Lg blue
0x10235c68,string,Tr. Red
0x10235c70,string,Transparent
0x10235c7c,string,Light bluish violet
0x10235c90,string,Dark orange
0x10235c9c,string,Bright green
0x10235cac,string,Lig. Yellowich orange
0x10235cc4,string,Medium green
0x10235cd4,string,Dark green
0x10235ce0,string,Dark grey
0x10235cec,string,Black
0x10235cf4,string,Earth orange
0x10235d04,string,Bright yellow
0x10235d14,string,Bright blue
0x10235d20,string,Med. reddish violet
0x10235d34,string,Bright red
0x10235d40,string,Nougat
0x10235d48,string,Light orange brown
0x10235d5c,string,Pastel Blue
0x10235d68,string,Light reddish violet
0x10235d80,string,Light green (Mint)
0x10235d94,string,Brick yellow
0x10235da4,string,Light yellow
0x10235db4,string,Grey
0x10235dbc,string,White
0x10235dd0,string,Property
0x10235df8,string,skybox images have different numbers of channels
0x10235e2c,string,skybox images have different heights
0x10235e54,string,skybox images have different widths
0x10235f6c,string,null_plainsky512_*.jpg
0x10235f84,string,Sky/
0x102360c4,string,Sky/null_plainsky512_dn.jpg
0x102360e0,string,Sky/null_plainsky512_ft.jpg
0x102360fc,string,Sky/null_plainsky512_bk.jpg
0x10236118,string,Sky/null_plainsky512_rt.jpg
0x10236134,string,Sky/null_plainsky512_lf.jpg
0x10236150,string,Sky/null_plainsky512_up.jpg
0x1023616c,string,Sky
0x10236234,string,SkyboxUp
0x10236240,string,SkyboxLf
0x1023624c,string,SkyboxRt
0x10236258,string,SkyboxBk
0x10236264,string,SkyboxFt
0x10236270,string,SkyboxDn
0x1023627c,string,StarCount
0x10236288,string,CelestialBodiesShown
0x102362bc,string,Signals
0x102362d0,string,http://www.roblox.com/roblox.xsd
0x102362f4,string,http://www.w3.org/2001/XMLSchema-instance
0x10236320,string,http://www.w3.org/2005/05/xmlmime
0x10236344,string,xmlns:xmime
0x10236368,string,Version 1.0 - 3.0 model files not supported - all future version will 
0x102363bc,string,Unknown object class '%s' while reading XML
0x102363e8,string,SerializerV2::loadXML ill-formed XML. No Roblox tag
0x1023641c,string,SerializerV2::loadXML schemaVersionLoading<4
0x1023644c,string,SerializerV2::loadXML no version number
0x10236474,string,SerializerV2::load error reading compound file (6)
0x102364a8,string,SerializerV2::load error reading compound file (4)
0x102364dc,string,SerializerV2::load error reading compound file (3)
0x10236510,string,SerializerV2::load error reading compound file (2)
0x10236544,string,SerializerV2::load error reading compound file (1)
0x10236578,string,SerializerV2::load error reading compound file (5)
0x102365ac,string,SerializerV2::load can't read contentPos
0x102365d8,string,SerializerV2::load canfileFormatVersion!=1
0x10236604,string,SerializerV2::load can't read old fileFormatVersion
0x10236638,string,RBX_
0x10236640,string,SerializerV2::load can't read header
0x1023669c,string,Part
0x102366b4,string,can't get value
0x10236778,string,CoordinateFrame
0x10236788,string,ControllerFlagShown
0x1023679c,string,Controller
0x102368d4,string,Torso
0x10236b24,string,Block
0x10236b2c,string,Plate
0x10236b34,string,Brick
0x10236b3c,string,Symmetric
0x10236b48,string,FormFactor
0x10236df4,string,CFrame
0x10236dfc,string,Position
0x10236e08,string,Velocity
0x10236e14,string,RotVelocity
0x10236e20,string,GetMass
0x10236e28,string,shape
0x10236e30,string,Shape
0x10236e38,string,Color
0x10236e40,string,Transparency
0x10236e50,string,Reflectance
0x10236e5c,string,Locked
0x10236e64,string,Anchored
0x10236e70,string,CanCollide
0x10236e7c,string,RenderImportance
0x10236e90,string,Size
0x10236e98,string,size
0x10236ea0,string,formFactor
0x10236eac,string,Elasticity
0x10236eb8,string,Friction
0x10236ec4,string,Touched
0x10236ecc,string,part
0x10236ed4,string,DraggingV1
0x10236f1c,string,Head
0x10236ff8,string,Right Arm
0x102371ac,string,FilteredSelection
0x1023728c,string,Left Leg
0x10237298,string,Right Leg
0x102372a4,string,Left Arm
0x102372b0,string,Right Shoulder
0x102372c0,string,RightGrip
0x102372d0,string,Neck
0x102372d8,string,Left Hip
0x102372e4,string,Right Hip
0x102372f0,string,Left Shoulder
0x102374bc,string,Humanoid
0x102374d8,string,Argument error: A Part is required
0x102374fc,string,LeftLeg
0x10237504,string,RightLeg
0x10237510,string,WalkToPart
0x1023751c,string,Control
0x10237524,string,WalkToPoint
0x10237530,string,WalkDirection
0x10237540,string,WalkRotationalVelocity
0x10237558,string,Jump
0x10237560,string,TargetPoint
0x1023756c,string,Sit
